,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.44802403450012207,0.010882210386519126,0.01831498146057129,0.0005977816044804563,80,{'n_estimators': 80},0.8208255159474672,0.7962441314553991,0.828169014084507,0.8169014084507042,0.7896713615023474,0.8103622862880849,0.014810506491995789,13
1,0.4526050090789795,0.0177136631520044,0.019620609283447266,0.002051084134756922,81,{'n_estimators': 81},0.8189493433395872,0.7953051643192488,0.8300469483568075,0.8112676056338028,0.7981220657276995,0.8107382254754292,0.012945086656115327,12
2,0.4433291435241699,0.004379544103796392,0.01843705177307129,0.00020221441110973259,82,{'n_estimators': 82},0.8198874296435272,0.7981220657276995,0.8291079812206573,0.8150234741784037,0.7962441314553991,0.8116770164451375,0.012683523369418363,7
3,0.4331644058227539,0.005672053274863349,0.018280506134033203,0.0004154792186786675,83,{'n_estimators': 83},0.8114446529080676,0.8018779342723005,0.819718309859155,0.8056338028169014,0.7981220657276995,0.8073593531168246,0.007586625611417518,17
4,0.4579522132873535,0.029690966822398853,0.02256498336791992,0.005614522112225521,84,{'n_estimators': 84},0.8086303939962477,0.7981220657276995,0.8309859154929577,0.8075117370892019,0.787793427230047,0.8066087079072307,0.014319139698098109,18
5,0.5067797183990479,0.04344159476236876,0.02142620086669922,0.001960428397282152,85,{'n_estimators': 85},0.8105065666041276,0.7990610328638498,0.828169014084507,0.8093896713615023,0.8037558685446009,0.8101764306917175,0.009891781682463303,14
6,0.48246059417724607,0.016383005041639698,0.020371389389038087,0.0013447585523046056,86,{'n_estimators': 86},0.8217636022514071,0.8065727699530516,0.828169014084507,0.815962441314554,0.7971830985915493,0.8139301852390138,0.01098028419127361,3
7,0.4618971347808838,0.012635379726933538,0.019260501861572264,0.000633603061442359,87,{'n_estimators': 87},0.8105065666041276,0.7953051643192488,0.8244131455399061,0.8075117370892019,0.787793427230047,0.8051060081565062,0.0126767591713558,20
8,0.5187907695770264,0.030033569454185012,0.020197296142578126,0.0005229801089604964,88,{'n_estimators': 88},0.8198874296435272,0.8,0.828169014084507,0.8084507042253521,0.8,0.8113014295906773,0.01115173583132782,8
9,0.5247789859771729,0.013032139340537563,0.022251081466674805,0.001094479078455505,89,{'n_estimators': 89},0.8217636022514071,0.8065727699530516,0.8356807511737089,0.8112676056338028,0.7971830985915493,0.8144935655207041,0.013225341998469923,2
10,0.48221569061279296,0.015930764866784318,0.025087928771972655,0.009841283911956504,90,{'n_estimators': 90},0.8180112570356473,0.8037558685446009,0.8328638497652582,0.8131455399061033,0.8,0.813555303050322,0.011598435803284457,4
11,0.518369197845459,0.02356787820757739,0.021043825149536132,0.0013067490198585944,91,{'n_estimators': 91},0.8189493433395872,0.8009389671361502,0.828169014084507,0.812206572769953,0.7990610328638498,0.8118649860388094,0.01094938570279354,6
12,0.5231536388397217,0.023847926208044448,0.022597408294677733,0.0009610767441892731,92,{'n_estimators': 92},0.8123827392120075,0.8093896713615023,0.828169014084507,0.8225352112676056,0.8,0.8144953271851245,0.009922244796610628,1
13,0.5083348274230957,0.003113866716818286,0.02130861282348633,0.0003785762544750543,93,{'n_estimators': 93},0.8170731707317073,0.8028169014084507,0.8356807511737089,0.8103286384976526,0.7943661971830986,0.8120531317989237,0.014032638193033287,5
14,0.5128050327301026,0.0057644065277685525,0.021294641494750976,0.000143248691854134,94,{'n_estimators': 94},0.8086303939962477,0.8018779342723005,0.8309859154929577,0.8,0.7981220657276995,0.8079232618978409,0.012064605573498427,16
15,0.5291902542114257,0.00913974393386379,0.02288541793823242,0.0018295514099985544,95,{'n_estimators': 95},0.8142589118198874,0.8075117370892019,0.8244131455399061,0.8084507042253521,0.8009389671361502,0.8111146931620995,0.007878559212017069,9
16,0.5244906425476075,0.007287165302269594,0.021630382537841795,0.0002586217488538783,96,{'n_estimators': 96},0.8142589118198874,0.8018779342723005,0.8291079812206573,0.8131455399061033,0.7953051643192488,0.8107391063076396,0.011595882495255333,11
17,0.5777212142944336,0.034917709603990287,0.02362093925476074,0.0018423599964399165,97,{'n_estimators': 97},0.8067542213883677,0.7981220657276995,0.8215962441314554,0.8131455399061033,0.7896713615023474,0.8058578865311947,0.011166518919125798,19
18,0.5421851634979248,0.021698788022270633,0.02188596725463867,0.0004569327392610772,98,{'n_estimators': 98},0.8161350844277674,0.8037558685446009,0.8356807511737089,0.8018779342723005,0.7934272300469484,0.8101753736930652,0.014673788163625873,15
19,0.5338322162628174,0.002586863041274556,0.022266960144042967,0.0004027168186383064,99,{'n_estimators': 99},0.8133208255159474,0.8075117370892019,0.831924882629108,0.8056338028169014,0.7962441314553991,0.8109270759013116,0.011848291533760125,10
