,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.002761220932006836,0.0004573000755819544,0.0007938385009765625,0.000193094416801718,0.001,{'alpha': 0.001},0.30174070099774564,0.27335691542115803,0.3220371442880867,0.29426866146669206,0.28166231893777127,0.29461314822229073,0.0168674103048523,9
1,0.0030814170837402343,0.0012973203116015838,0.0008146762847900391,0.00015124519997972404,0.003593813663804626,{'alpha': 0.003593813663804626},0.3017408058850909,0.2733569206765962,0.3220371151907634,0.2942687595588671,0.2816622982884166,0.29461317991994684,0.016867411153324588,8
2,0.0022655487060546874,0.0007112930293459145,0.0006941795349121094,0.00018706538680211574,0.01291549665014884,{'alpha': 0.01291549665014884},0.3017411827047092,0.2733569395413521,0.3220370105956232,0.2942691119649593,0.281662224054676,0.294613293772264,0.01686741419529015,7
3,0.0016837120056152344,0.0008732382163736728,0.00046648979187011717,2.407985158111056e-05,0.046415888336127795,{'alpha': 0.046415888336127795},0.3017425352987526,0.27335700704976873,0.32203663438026997,0.29427037691215796,0.2816619569651083,0.2946137021212115,0.016867425033514946,6
4,0.001415586471557617,0.000463504349369394,0.0004749774932861328,0.00016986713231141227,0.1668100537200059,{'alpha': 0.1668100537200059},0.30174737533798546,0.27335724594909205,0.32203527820813016,0.2942749031276214,0.28166099313238635,0.2946151591510431,0.01686746277271239,5
5,0.0013572216033935548,0.00039279287175791416,0.00047173500061035154,0.000119225748833212,0.5994842503189409,{'alpha': 0.5994842503189409},0.30176450203057714,0.27335805684139114,0.32203035145876824,0.2942909165404549,0.2816574784338902,0.29462026106101635,0.016867582898402938,4
6,0.0010793685913085937,8.844813874232713e-05,0.0003762245178222656,2.1345587558572677e-05,2.1544346900318843,{'alpha': 2.1544346900318843},0.3018227240179048,0.2733603687276632,0.3220119779956192,0.29434530470770215,0.28164420477781626,0.29463691604534115,0.016867820855196534,3
7,0.0014740943908691407,0.0005344364491573917,0.0004826068878173828,0.00011340059851617898,7.742636826811277,{'alpha': 7.742636826811277},0.301994154346758,0.27336148056791,0.3219380134954466,0.294504318213472,0.2815888411779959,0.29467736156031654,0.016866444159269505,1
8,0.001393747329711914,0.0003716720191279115,0.00047087669372558594,8.930321077133079e-05,27.825594022071257,{'alpha': 27.825594022071257},0.3022833143166015,0.27329451125974624,0.32159554684215996,0.2947466664806273,0.2813156226789558,0.2946471323156182,0.016841625831519717,2
9,0.0011523246765136718,0.00017262357353543326,0.00037112236022949217,1.8791619418875692e-05,100.0,{'alpha': 100.0},0.30185665712487353,0.27267901346033663,0.3200017105954067,0.2940120526583163,0.27999784067434363,0.29370945490265543,0.016661566618234324,10
